Time;Year;Country Name;Country Code;Population, total [SP.POP.TOTL];CO2 emissions (kt) [EN.ATM.CO2E.KT];Methane emissions (kt of CO2 equivalent) [EN.ATM.METH.KT.CE];Nitrous oxide emissions (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.KT.CE];Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent) [EN.ATM.GHGO.KT.CE];Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC];Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS];Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS];Energy imports, net (% of energy use) [EG.IMP.CONS.ZS];Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS];Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS];Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS];Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS];Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS];Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD];Manufacturing, value added (constant 2015 US$) [NV.IND.MANF.KD];Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE];Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS]
1972;1972;Canada;CAN;22218463;;;;-78390,89922;9803,558419;84,02431778;;-15,94964271;0;23,27131928;2,92978828;73,79889244;;18225,42269;;6863,444335;11,4758929
1972;1972;United States;USA;209896000;;;;90579,74375;8076,409269;95,36675779;;12,13181256;0,09929183;82,13832897;3,123154822;14,63922438;;23886,44688;;7940,997832;2,38232402
1972;1972;United Kingdom;GBR;56086065;;;;9297,453438;4372,636946;96,19949134;;51,92454165;0;87,52925596;11,18024714;1,290496904;;17134,64957;;3747,962475;3,780871015
1972;1972;Italy;ITA;54381345;;;;4502,372337;2295,493059;93,7367118;;81,95908706;2,843293949;63,56744888;2,708112387;30,88114479;;15152,07647;;2050,737877;6,026243244
1972;1972;Germany;DEU;78688452;;;;6168,257812;4335,769625;97,65361239;;45,62641881;0,814441961;92,61653574;2,752969952;3,816052342;;16462,38793;;4017,337385;1,144067821
1972;1972;France;FRA;52637888;;;;10628,71719;2938,282782;89,79686785;;72,01160767;0,4813056;62,47802291;8,5233147;28,51735679;;16914,17511;1,22E+11;3180,100691;4,809212629
1972;1972;Belgium;BEL;9711115;;;;162,2303063;3612,355533;;;84,88312293;0;99,48461954;0,029681597;0,485698867;;17740,01455;;4473,929513;0,042228614
1972;1972;Netherlands;NLD;13328593;;;;14705,70586;3414,689007;;;18,17351163;0;99,34209199;0,657908014;0;;20349,63548;35932798756;4381,041795;0,14549316
1972;1972;Sweden;SWE;8122300;;;;910,7377211;8131,933073;78,22607077;;78,53455518;0,315408985;22,63547932;2,044575942;75,00453575;;23682,71337;;4527,21372;13,6075527
1972;1972;Switzerland;CHE;6260956;;;;386,2618652;4776,267394;80,77061716;;80,52788566;0;11,19859469;12,04554723;76,75585809;;;;2727,719217;18,18150465
1972;1972;Japan;JPN;107188000;;;;-13118,77531;3737,265366;96,57390676;;88,59214427;0;77,77777778;2,231618511;19,99060371;;13491,6324;;2667,04675;3,426093242
1973;1973;Canada;CAN;22491777;;;;-78205,04609;10241,92086;82,79334872;;-24,39625384;0;22,27961241;5,647935249;72,07245234;;19314,90922;;7084,623683;13,06035248
1973;1973;United States;USA;211909000;;;;92328,68;8573,194154;94,97718869;;15,82180043;0,139811113;81,8215536;4,536585688;13,5020496;;24925,23485;;8163,603792;2,784346852
